DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
2.147,1.445,4.704,2.576,3.954,3.739,2.862,5.329,1.729,7.043,2.342,4.037,4.658,3.945,2.727,5.586,4.436,3.053,4.253,4.443,3.345,3.0,3.703,3.596,2.261,3.862,2.0,16.513,8.575,53.788,0.0,9
3.906,1.841,4.572,2.728,9.67,5.163,1.028,1.561,2.141,190.455,1.765,4.044,4.74,3.393,2.608,1.841,4.627,3.885,3.733,4.257,4.151,3.0,1.304,3.443,1.115,3.181,2.0,773.8,28.18,19159.962,1.072,12
3.146,1.918,4.321,3.524,9.345,4.644,1.292,2.503,2.627,125.347,2.428,3.463,1.729,1.26,2.313,1.577,3.042,2.509,3.075,1.483,3.501,3.0,3.861,3.225,2.422,3.575,2.0,488.555,24.68,12781.475,0.0,27
2.541,5.971,4.666,3.532,8.882,3.068,2.49,3.381,4.469,25.273,2.658,4.069,4.369,2.119,2.52,5.777,2.374,2.058,4.932,3.254,2.234,3.0,5.885,3.486,4.059,3.456,2.0,46.588,11.768,43.461,0.0,37
4.337,3.046,3.646,4.949,9.364,5.068,3.801,1.157,3.168,368.665,2.455,3.037,2.199,3.54,2.372,3.781,3.477,3.508,3.033,1.681,5.886,3.0,2.533,3.906,2.404,3.919,2.0,2592.964,41.203,32061.244,0.0,14
4.012,1.338,4.759,1.319,5.873,3.693,2.113,1.221,4.364,318.867,1.481,4.257,1.083,3.249,2.59,1.005,1.35,2.042,4.944,1.087,5.111,3.0,1.325,3.73,4.46,3.193,2.0,2483.265,40.176,60266.159,0.536,15
3.281,3.58,3.079,4.836,8.528,3.697,1.936,3.535,4.377,373.056,3.942,4.441,2.753,1.31,2.947,1.449,1.371,4.687,3.476,1.659,5.988,3.0,3.378,3.699,3.963,3.964,2.0,1645.753,35.324,20497.318,0.0,16
4.207,4.497,4.31,3.502,7.528,5.732,1.59,1.303,3.163,405.675,2.786,3.538,2.365,3.067,2.293,1.359,4.561,4.247,3.342,2.27,4.004,3.0,2.107,3.777,2.729,3.218,2.0,1884.924,36.642,42398.187,0.0,17
3.78,1.386,3.979,4.168,9.045,3.197,2.081,4.576,4.42,267.354,1.637,4.489,2.978,2.978,2.672,2.335,2.375,4.178,4.709,3.063,4.199,3.0,3.107,3.885,2.852,3.79,2.0,1109.104,30.996,13414.346,0.0,18
4.545,5.389,3.016,3.334,9.982,5.722,1.969,4.429,2.976,213.153,1.376,3.656,3.199,3.794,2.625,2.206,4.625,2.02,4.503,1.271,5.069,3.0,2.757,3.89,3.395,3.023,2.0,886.288,28.704,10231.761,0.268,19
3.08,2.061,4.588,3.651,9.683,4.45,2.301,2.917,4.905,328.481,1.987,4.96,3.522,1.07,2.567,2.371,2.316,4.947,4.297,1.673,2.998,3.0,2.427,3.198,2.82,3.996,2.0,1141.984,31.408,25769.6,0.0,20
4.902,2.609,3.125,1.955,8.044,5.368,3.079,2.103,2.521,363.94,1.286,3.803,1.547,3.158,2.417,2.307,1.989,4.434,4.713,1.282,4.92,3.0,1.68,3.973,1.158,3.452,2.0,6481.823,57.136,156928.585,2.413,22
2.31,5.62,4.928,1.26,8.854,5.482,3.011,3.652,4.08,401.731,1.763,3.71,1.604,1.55,2.419,3.266,3.61,4.398,3.803,4.194,4.821,3.0,1.256,3.708,4.325,3.058,2.0,2930.05,39.671,23450.936,0.804,23
2.33,1.058,4.849,4.811,7.732,5.749,4.118,3.038,4.969,271.455,2.354,3.953,2.11,1.801,2.365,3.14,1.475,4.253,3.009,1.418,5.468,3.0,2.118,3.033,4.114,3.327,2.0,2123.468,37.59,17382.872,0.0,24
2.326,5.069,3.21,3.639,3.597,5.746,1.342,1.176,1.711,12.115,1.319,3.16,1.852,3.977,2.204,1.682,1.622,3.293,3.947,3.201,4.136,3.0,4.445,3.644,1.554,3.116,2.0,50.458,12.527,625.511,0.268,28
2.57,3.92,4.454,1.717,4.126,3.736,1.518,1.839,4.773,8.698,3.19,4.54,4.86,2.057,2.9,4.595,1.993,3.085,4.23,3.962,5.538,3.0,3.596,3.906,1.325,3.421,2.0,38.599,11.167,228.546,1.609,0
4.481,3.729,4.623,4.903,3.092,3.425,4.829,5.716,2.464,16.317,1.86,4.931,4.981,2.41,2.512,4.831,1.494,2.876,4.444,1.978,4.831,3.0,4.938,3.163,3.688,3.601,2.0,35.254,11.113,162.8,0.0,7
2.93,3.576,4.797,2.632,4.426,4.717,2.858,2.054,1.878,70.179,1.992,3.705,1.617,2.214,2.354,1.123,1.008,3.95,3.021,1.099,3.777,3.0,1.702,3.74,3.613,3.531,2.0,602.385,27.385,11389.886,0.268,29
3.208,1.175,3.775,4.423,3.6,5.347,1.169,5.422,3.544,13.627,3.212,4.477,1.918,3.91,2.07,3.842,2.123,3.503,4.707,2.739,5.653,3.0,5.917,3.642,2.928,3.653,2.0,36.734,11.021,328.972,0.0,25
4.672,5.423,4.522,4.18,3.644,3.471,2.716,5.745,2.508,7.548,1.955,4.765,1.65,3.735,2.384,3.421,2.583,4.537,3.359,3.096,2.587,3.0,5.466,3.022,3.873,3.148,2.0,20.242,9.192,80.098,0.0,11
2.295,4.072,3.422,3.896,6.927,5.929,1.411,5.137,3.397,7.123,2.08,3.763,3.044,3.952,2.126,2.696,3.963,2.348,3.669,1.271,4.472,3.0,4.491,3.885,4.162,3.541,2.0,36.243,10.972,145.459,0.0,3
3.199,2.033,3.59,4.906,9.463,4.371,3.458,4.685,3.415,16.153,2.894,4.708,4.425,1.657,2.903,4.555,1.641,4.671,3.93,4.256,3.446,3.0,2.415,3.852,4.003,3.109,2.0,83.428,13.896,303.296,0.0,32
4.065,4.05,4.64,4.096,3.002,5.858,3.77,2.198,2.918,11.419,3.805,3.468,3.358,3.095,2.404,3.692,2.832,2.524,3.363,2.267,5.792,3.0,4.078,3.088,1.177,3.7,2.0,47.765,11.988,384.065,0.0,21
2.733,4.785,4.885,4.294,4.63,4.301,2.403,1.603,2.38,12.868,3.148,3.486,3.027,3.969,2.599,1.341,4.381,4.646,4.799,4.767,2.687,3.0,5.241,3.029,1.334,3.761,2.0,36.507,10.847,109.509,0.0,6
4.377,2.184,3.78,4.825,4.463,5.228,2.843,2.672,2.043,8.821,3.643,4.2,1.893,1.127,2.916,2.656,4.336,2.36,4.545,1.554,2.739,3.0,5.532,3.913,4.797,3.558,2.0,38.811,11.115,108.826,0.0,5
2.356,1.192,4.826,4.031,4.78,3.037,1.767,4.47,4.255,13.095,1.378,3.11,4.756,3.908,2.038,5.887,2.422,2.629,3.721,2.986,3.322,3.0,5.534,3.097,3.453,3.896,2.0,26.489,9.962,65.743,0.268,4
