DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
3.456,4.952,4.151,4.478,3.949,1.993,1.667,1.532,2.677,11.778,2.307,4.736,4.161,2.601,2.481,3.351,1.561,3.0,3.383,1.481,2.315,3.0,4.07,3.761,1.698,3.204,2.0,20.753,9.448,283.581,1.072,24
4.142,1.95,3.361,4.097,8.772,1.602,3.243,3.249,2.371,260.442,1.073,3.1,1.029,3.875,2.981,1.871,1.03,3.881,1.782,1.683,5.296,3.0,2.309,3.713,1.217,3.458,2.0,1344.055,35.282,47745.029,1.609,26
3.936,4.138,4.867,4.869,3.58,2.612,1.007,2.669,4.324,16.781,3.033,4.985,4.89,1.965,2.801,2.805,4.212,3.175,1.714,2.663,4.877,3.0,2.711,3.458,3.363,3.336,2.0,25.989,9.777,319.87,2.145,73
4.661,1.46,3.402,2.579,4.29,1.08,2.098,1.354,4.716,211.647,1.224,4.88,1.817,2.924,2.489,1.306,3.31,4.411,1.282,1.848,2.024,3.0,1.004,3.601,2.237,3.761,2.0,723.815,27.008,44724.696,2.413,27
3.772,3.015,4.934,4.243,9.569,3.396,2.505,1.52,4.437,186.928,1.611,3.49,2.019,2.269,2.913,3.631,3.457,2.648,1.214,3.708,3.836,3.0,2.094,3.378,4.136,3.725,2.0,358.918,21.156,8102.14,1.877,31
3.155,2.045,4.812,3.927,7.003,3.482,2.144,2.557,2.511,80.414,1.784,4.349,3.099,3.125,2.972,5.317,1.136,4.319,2.144,2.091,2.333,3.0,5.149,3.557,2.021,3.386,2.0,187.016,18.513,2117.74,1.072,32
3.239,3.339,3.327,3.521,3.212,3.792,1.796,2.625,2.777,97.033,2.848,3.748,2.861,1.393,2.438,1.665,4.354,3.994,2.288,2.869,3.299,3.0,1.898,3.079,1.596,3.925,2.0,337.534,21.961,10207.627,0.536,44
4.359,3.275,4.214,4.077,9.457,1.23,1.52,1.892,1.087,140.411,2.845,4.913,3.628,2.614,2.362,2.224,1.083,2.705,1.353,1.454,3.346,3.0,1.427,3.413,1.16,3.701,2.0,283.648,21.985,13013.72,3.753,33
3.295,4.696,4.598,3.235,4.168,1.418,3.37,2.798,3.804,12.54,3.896,3.156,4.87,3.541,2.3,3.156,4.805,4.703,1.161,4.631,4.965,3.0,1.687,3.354,4.088,3.458,2.0,32.821,10.392,183.512,2.145,21
3.282,5.878,3.242,3.894,3.133,1.082,3.046,2.135,3.528,11.867,3.355,4.021,1.339,1.139,2.581,2.032,1.046,4.522,1.183,1.451,5.337,3.0,2.146,3.902,1.758,3.946,2.0,60.271,13.188,1442.534,2.413,35
